ID,flow_score,sa_score,condition,understanding_score
1,3.90625,0.167,1,8
2,3.375,0.500,1,4.5
3,3.6875,0.500,1,5.5
4,3.78125,0.500,1,2.5
5,3.75,0.167,1,2
6,3.15625,0.167,1,4.5
7,4.21875,0.500,2,5
8,3.71875,0.500,2,1.5
9,3.375,0.000,2,4
10,4.28125,0.417,1,6
11,4.35483871,0.333,1,4.5
12,3,0.250,1,1.5
13,4.65625,0.750,1,8.5
14,3.28125,0.417,1,4
15,,0.500,1,3.5
16,3.90625,0.750,2,3
17,3.375,0.417,2,5.5
18,3.3125,0.500,2,3.5
19,3,0.500,2,7
20,2.78125,0.583,2,6.5
21,2.9375,0.250,2,6
22,3.9375,0.500,2,4.5
23,4.0625,0.417,2,4.5
24,3.15625,0.417,2,3.5
25,3.875,0.167,1,6.5
26,3.9375,0.500,1,7
27,3.75,0.000,1,6.5
28,3.53125,0.333,1,7
29,3.59375,0.417,1,1
30,3.6875,0.417,1,3
31,3,0.500,1,7.5
32,3.28125,0.500,1,2.5
33,2.21875,0.333,1,0.5
34,3.65625,0.333,2,4.5
35,4.375,0.583,2,2
36,3.125,0.750,2,6
37,3.25,0.417,2,5
38,3.375,0.417,2,3
39,2.5,0.167,2,4
40,3.5625,0.500,2,2.5
41,3.90625,0.333,2,6.5
42,3.0625,0.500,2,3
43,2.25,0.417,1,8.5
44,3.0625,0.333,1,3.5
45,3.28125,0.250,1,1.5
46,3.4375,0.750,1,4
47,3,0.417,1,6
48,3.40625,0.500,1,3.5
49,2.375,0.583,1,3
50,4,0.750,1,9
51,2.375,0.083,1,0.5
52,3.5,0.417,2,5
53,3.53125,0.667,2,4.5
54,4.40625,0.750,2,4
55,4.46875,0.500,2,7
56,3.64516129,0.417,2,5
57,3.53125,0.250,2,8.5
58,2.53125,0.333,2,6.5
59,3.4375,0.417,2,5
60,3.84375,0.667,2,2
61,3.46875,0.417,2,1.5
62,2.65625,0.750,2,5.5
63,3.4,0.333,2,2.5
64,2.677419355,0.250,2,3.5
65,4.15625,0.333,2,9.5
66,4.375,0.083,2,1
67,3.28125,0.083,2,3
68,3.59375,0.333,2,5.5
69,3.09375,0.583,2,4
70,4.03125,0.083,2,3.5
71,3.1875,0.250,1,1
72,4.53125,0.333,1,4.5
73,2.21875,0.417,1,5.5
74,3.21875,0.250,1,2
75,3.5625,0.250,1,5.5
76,2.9375,0.333,1,2
77,3.1875,0.667,1,2.5
78,3.40625,0.083,1,2.5
79,4.0625,0.583,1,3
80,4.09375,0.083,1,5.5
