ID,Spatial_Ability_Score,
1,0.167,
2,0.500,
3,0.500,
4,0.500,
5,0.167,
6,0.167,
7,0.500,
8,0.500,
9,0.000,
10,0.417,
11,0.333,
12,0.250,
13,0.750,
14,0.417,
15,0.500,
16,0.750,
17,0.417,
18,0.500,
19,0.500,
20,0.583,
21,0.250,
22,0.500,
23,0.417,
24,0.417,
25,0.167,
26,0.500,
27,0.000,
28,0.333,
29,0.417,
30,0.417,
31,0.500,
32,0.500,
33,0.333,
34,0.333,
35,0.583,
36,0.750,
37,0.417,
38,0.417,
39,0.167,
40,0.500,
41,0.333,
42,0.500,
43,0.417,
44,0.333,
45,0.250,
46,0.750,
47,0.417,
48,0.500,
49,0.583,
50,0.750,
51,0.083,
52,0.417,
53,0.667,
54,0.750,
55,0.500,
56,0.417,
57,0.250,
58,0.333,
59,0.417,
60,0.667,
61,0.417,
62,0.750,
63,0.333,
64,0.250,
65,0.333,
66,0.083,
67,0.083,
68,0.333,
69,0.583,
70,0.083,
71,0.250,
72,0.333,
73,0.417,
74,0.250,
75,0.250,
76,0.333,
77,0.667,
78,0.083,
79,0.583,
80,0.083,
